table_name,constraint_name,columns,scope,rule
support_tickets,support_tickets_category_valid,category,mot cot,"CHECK ((category = ANY (ARRAY['account'::text, 'billing'::text, 'data'::text, 'bug'::text, 'other'::text])))"
support_tickets,support_tickets_priority_valid,priority,mot cot,"CHECK ((priority = ANY (ARRAY['low'::text, 'normal'::text, 'high'::text, 'urgent'::text])))"
support_tickets,support_tickets_status_valid,status,mot cot,"CHECK ((status = ANY (ARRAY['open'::text, 'pending'::text, 'resolved'::text, 'closed'::text])))"
tenant_exports,ck_tenant_exports_purpose,export_purpose,mot cot,"CHECK ((export_purpose = ANY (ARRAY['tenant_portability'::text, 'internal_training'::text, 'research_release'::text, 'public_library'::text])))"
tenant_exports,ck_tenant_exports_scope,scope,mot cot,"CHECK ((scope = ANY (ARRAY['metadata'::text, 'full'::text])))"
tenant_exports,ck_tenant_exports_status,status,mot cot,"CHECK ((status = ANY (ARRAY['pending'::text, 'running'::text, 'ready'::text, 'failed'::text, 'expired'::text])))"
tenant_invitations,tenant_invitations_accept_is_complete,accepted_at+accepted_by,BAT BIEN NHIEU COT,CHECK (((accepted_by IS NULL) OR (accepted_at IS NOT NULL)))
tenant_invitations,tenant_invitations_email_lower,email,mot cot,CHECK ((email = lower(email)))
tenant_invitations,tenant_invitations_role_valid,role,mot cot,"CHECK (((role IS NULL) OR (role = ANY (ARRAY['admin'::text, 'editor'::text]))))"
tenant_storage,ck_tenant_storage_not_negative,bytes_used,mot cot,CHECK ((bytes_used >= 0))
tenants,ck_tenants_billing_status,billing_status,mot cot,"CHECK ((billing_status = ANY (ARRAY['trialing'::text, 'active'::text, 'past_due'::text, 'suspended'::text, 'cancelled'::text])))"
tenants,ck_tenants_type,tenant_type,mot cot,"CHECK ((tenant_type = ANY (ARRAY['COMMUNITY'::text, 'ORGANIZATION'::text])))"
user_action_passcodes,ck_user_action_passcodes_failed_count,failed_count,mot cot,CHECK ((failed_count >= 0))
user_action_passcodes,ck_user_action_passcodes_status,status,mot cot,"CHECK ((status = ANY (ARRAY['ACTIVE'::text, 'LOCKED'::text, 'REVOKED'::text])))"
user_consents,ck_user_consents_source,source,mot cot,"CHECK ((source = ANY (ARRAY['user'::text, 'backfill'::text, 'import'::text])))"
users,users_email_lower,email,mot cot,CHECK ((email = lower(email)))
verification_codes,verification_codes_attempts_bounded,attempts+max_attempts,BAT BIEN NHIEU COT,CHECK (((attempts >= 0) AND (attempts <= max_attempts)))
verification_codes,verification_codes_channel_valid,channel,mot cot,"CHECK ((channel = ANY (ARRAY['email'::text, 'sms'::text])))"
verification_codes,verification_codes_purpose_valid,purpose,mot cot,"CHECK ((purpose = ANY (ARRAY['verify_email'::text, 'verify_phone'::text, 'reset_password'::text])))"
vocabulary_groups,vocabulary_groups_id_not_blank,group_id,mot cot,CHECK ((group_id <> ''::text))
webhook_deliveries,ck_webhook_deliveries_status,status,mot cot,"CHECK ((status = ANY (ARRAY['pending'::text, 'delivered'::text, 'failed'::text, 'dropped'::text])))"
workspaces,ck_workspaces_status,status,mot cot,"CHECK ((status = ANY (ARRAY['ACTIVE'::text, 'ARCHIVED'::text, 'DELETED'::text])))"
